,single,danceability,energy,instrumentalness,explicit,collab,timesig_0,timesig_1,timesig_3,timesig_4,timesig_5,track_number,duration_s
2194,0,0.672,0.329,0.0,0,0,0,0,0,1,0,0.20833333333333334,0.04048325561678678
952,0,0.785,0.555,1.35e-06,0,0,0,0,0,1,0,0.37499999999999994,0.041331072488342516
336,0,0.65,0.711,0.00943,1,0,0,0,0,1,0,0.08333333333333334,0.08181432810512929
1066,0,0.492,0.576,0.0,0,0,0,0,1,0,0,0.0,0.014624841034336582
7652,0,0.424,0.952,0.968,0,0,0,0,0,1,0,0.6666666666666666,0.03497244595167444
4207,0,0.681,0.701,0.0,1,0,0,0,0,1,0,0.0,0.03306485799067401
7785,1,0.483,0.129,0.145,0,0,0,0,1,0,0,0.0,0.03009749894022891
9640,0,0.825,0.761,0.00339,0,0,0,0,0,1,0,0.0,0.03242899533700721
5612,0,0.612,0.966,0.0097,0,0,0,0,0,1,0,0.41666666666666663,0.0476896990250106
6963,1,0.824,0.588,0.000104,0,0,0,0,0,1,0,0.041666666666666664,0.04027130139889784
2468,0,0.119,0.452,0.442,0,0,0,0,1,0,0,0.3333333333333333,0.016744383213225942
2772,0,0.498,0.721,0.699,0,0,0,0,0,1,0,0.0,0.04387452310300975
9264,0,0.774,0.914,0.0,0,0,0,0,0,1,0,0.8333333333333334,0.03603221704111912
8369,1,0.425,0.743,0.0,1,0,0,0,0,1,0,0.0,0.03603221704111912
342,0,0.465,0.403,0.000667,0,0,0,0,0,1,0,0.0,0.0483255616786774
9120,0,0.731,0.842,0.0,0,0,0,0,0,1,0,0.4583333333333333,0.04175498092412039
1339,0,0.871,0.743,0.0,1,1,0,0,0,1,0,0.5416666666666666,0.05489614243323442
6588,0,0.797,0.55,0.0,1,1,0,0,0,1,0,0.37499999999999994,0.03963543874523103
5191,1,0.736,0.795,1.21e-06,1,1,0,0,0,1,0,0.0,0.04472233997456549
685,0,0.624,0.994,0.0794,0,0,0,0,0,1,0,0.041666666666666664,0.07164052564646037
3664,0,0.169,0.0161,0.86,0,0,0,0,1,0,0,0.5416666666666666,0.032852903772785075
5925,1,0.364,0.856,0.734,0,0,0,0,0,1,0,0.0,0.08160237388724036
9143,0,0.765,0.0145,0.931,0,0,0,0,1,0,0,0.041666666666666664,0.03730394234845273
791,0,0.547,0.552,0.897,0,0,0,0,0,1,0,0.0,0.06846121237812633
487,0,0.367,0.998,0.967,0,0,0,0,0,1,0,0.9999999999999999,0.007842306061890632
2185,0,0.576,0.849,3.89e-05,0,0,0,0,0,1,0,0.041666666666666664,0.03751589656634167
6895,0,0.637,0.713,0.000637,0,0,0,0,0,1,0,0.0,0.04387452310300975
7517,1,0.882,0.602,0.0,1,0,0,0,0,1,0,0.0,0.0347604917337855
8818,0,0.533,0.879,0.0,0,0,0,0,0,1,0,0.49999999999999994,0.05680373039423484
7586,0,0.769,0.926,0.0,0,0,0,0,0,1,0,0.29166666666666663,0.025222551928783383
29,0,0.851,0.497,7.9e-05,0,0,0,0,1,0,0,0.20833333333333334,0.033488766426451884
2509,0,0.842,0.5,0.0,1,0,0,0,0,1,0,0.0,0.032005086901229336
1483,0,0.733,0.62,0.305,0,0,0,0,0,1,0,0.16666666666666666,0.04811360746078847
759,0,0.424,0.535,0.000231,0,0,0,0,1,0,0,0.125,0.057227638830012716
5084,0,0.528,0.8,0.000192,0,0,0,0,0,1,0,0.16666666666666666,0.06485799067401442
4805,0,0.837,0.307,0.0,1,0,0,0,0,1,0,0.20833333333333334,0.03242899533700721
4127,1,0.748,0.297,0.27,0,0,0,0,0,1,0,0.0,0.02373887240356083
9538,0,0.607,0.636,0.0,0,0,0,0,0,1,0,0.125,0.05743959304790165
881,0,0.413,0.844,0.0,0,0,0,0,0,1,0,0.37499999999999994,0.046841882153454854
8837,0,0.247,0.956,0.0114,0,0,0,0,0,1,0,0.9999999999999999,0.044298431538787625
4452,0,0.429,0.921,0.0,0,0,0,0,0,1,0,0.9999999999999999,0.008266214497668503
897,0,0.564,0.0865,0.925,0,0,0,0,0,1,0,0.0,0.017804154302670624
5790,0,0.562,0.437,2.18e-05,0,0,0,0,0,1,0,0.3333333333333333,0.054684188215345486
4131,1,0.798,0.568,0.0,1,0,0,0,1,0,0,0.0,0.03688003391267486
9503,1,0.692,0.961,0.0377,0,0,0,0,0,1,0,0.0,0.05574395930479017
7812,1,0.808,0.528,0.000244,0,0,0,0,0,1,0,0.0,0.05701568461212378
6183,0,0.669,0.419,0.0,1,0,0,0,0,1,0,0.24999999999999997,0.04154302670623145
4168,0,0.335,0.696,0.000181,0,0,0,0,0,1,0,0.3333333333333333,0.056167867740568034
6872,0,0.279,0.176,0.146,0,0,0,0,0,1,0,0.3333333333333333,0.05086901229334464
8442,0,0.619,0.263,0.891,0,0,0,0,0,1,0,0.041666666666666664,0.03836371343789741
1792,0,0.808,0.698,0.875,0,0,0,0,0,1,0,0.3333333333333333,0.07397202204323866
7859,0,0.594,0.749,0.00106,0,0,0,0,0,1,0,0.5416666666666666,0.03242899533700721
7852,0,0.588,0.823,0.416,0,0,0,0,0,1,0,0.37499999999999994,0.029673590504451036
2737,0,0.468,0.98,0.989,0,0,0,0,0,1,0,0.9999999999999999,0.00953793980500212
702,0,0.714,0.434,0.0,0,0,0,0,0,1,0,0.49999999999999994,0.05086901229334464
7298,0,0.462,0.914,0.964,0,0,0,0,0,1,0,0.9999999999999999,0.003391267486222976
6812,0,0.462,0.72,0.0,0,0,0,0,0,1,0,0.08333333333333334,0.03688003391267486
8938,1,0.634,0.285,0.000359,0,0,0,0,0,1,0,0.0,0.047901653242899536
9309,1,0.776,0.684,0.0466,0,0,0,0,0,1,0,0.0,0.03391267486222976
7072,0,0.236,0.996,2.09e-05,1,0,0,0,0,1,0,0.125,0.04048325561678678
1358,0,0.532,0.966,0.000288,0,0,0,0,0,1,0,0.6666666666666666,0.03497244595167444
